Year,Month,PDSI
2090,7,-1.95
2090,8,-3.06
2090,9,-2.45
2090,10,-2.97
2090,11,-2.65
2090,12,-2.28
2091,1,-1.95
2091,2,-1.92
2091,3,-1.53
2091,4,-0.82
2091,5,-1.29
2091,6,-2.27
2091,7,-2.73
2091,8,1.92
2091,9,-0.29
2091,10,-0.02
2091,11,-0.73
2091,12,-1.25
2092,1,-1.35
2092,2,-1.43
2092,3,-1.05
2092,4,-0.61
2092,5,-0.98
2092,6,-1.12
2092,7,-2.28
2092,8,-1.97
2092,9,-1.86
2092,10,-1.84
2092,11,-1.86
2092,12,0.24
2093,1,0.82
2093,2,0.86
2093,3,1.21
2093,4,-0.89
2093,5,0.57
2093,6,-0.14
2093,7,-0.79
2093,8,-1.81
2093,9,-2.25
2093,10,-2.43
2093,11,-3.01
2093,12,-3.67
2094,1,-3.37
2094,2,-3.68
2094,3,-3.58
2094,4,-2.31
2094,5,-1.76
2094,6,-2.14
2094,7,-1.35
2094,8,-1.7
2094,9,-1.88
2094,10,-1.99
2094,11,-1.76
2094,12,-1.75
2095,1,-1.25
2095,2,-1.25
2095,3,-0.97
2095,4,-1.35
2095,5,-1.52
2095,6,-2.07
2095,7,-2.05
2095,8,-2.58
2095,9,-3.08
2095,10,0.48
2095,11,0.74
2095,12,1.91
2096,1,1.52
2096,2,1.65
2096,3,1.98
2096,4,2.18
2096,5,3.73
2096,6,3.85
2096,7,-0.62
2096,8,-1.7
2096,9,-2.67
2096,10,-2.74
2096,11,-2.87
2096,12,-2.28
2097,1,-2.19
2097,2,-1.71
2097,3,-1.85
2097,4,-2.49
2097,5,-2.3
2097,6,-3.82
2097,7,-5.11
2097,8,-5.74
2097,9,-6.14
2097,10,-5.01
2097,11,-5.03
2097,12,-5.22
2098,1,-4.89
2098,2,-4.5
2098,3,-4.36
2098,4,1.12
2098,5,2.13
2098,6,2.76
2098,7,-0.2
2098,8,-1.02
2098,9,-1.52
2098,10,-2.27
2098,11,-2.85
2098,12,-2.07
2099,1,-1.85
2099,2,-1.92
2099,3,-2.68
2099,4,-3.42
2099,5,-3.86
2099,6,-4.58
2099,7,-4.36
2099,8,-5.12
2099,9,-5.7
2099,10,-5.51
2099,11,-5.56
2099,12,-5.05
2100,1,-4.45
2100,2,-3.99
2100,3,-4.45
2100,4,-4.81
2100,5,-3.98
2100,6,-3.5
2100,7,-4.41
2100,8,-5.26
2100,9,-6.35
2100,10,-6.59
2100,11,-6.67
2100,12,-6.81
